एक बस चार तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पंचावन्न मिनिटं आहेत,Emotion
कसं शोधावं हे माहीत करून घेणं गरजेचं आहे,neutral
अच्छा ? मी काही मदत करू शकते का ?,neutral
एक बस चार तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पस्तीस मिनिटं आहेत,neutral
आवडता स्टार ? अनेक आहेत,neutral
एक बस पाच मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पंचेचाळीस मिनिटं आहेत,neutral
पहिली क्रेन कधी बनवली गेली होती ते तुम्हाला माहीत आहे का ?,neutral
मी तुम्हाला मदत करण्यासाठी आहे . मी तुम्हाला काय मदत करू शकते ?,neutral
खूप छान मी तुमच्यासाठी काय करू शकतो ?,neutral
आफ्टर अवर्स ट्रेडिंगमधे गुगल सातशे पन्नास डॉलरवर आहे,neutral
केतकीचा जन्म दोन हजार एकोणीस सालातील वैशाख ह्या महिन्यात वाशिम इथे झाला,neutral
अनुजा परवा शांघायमधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला जॅकी चॅनचा पुतळा दिसला,neutral
आपण एक खेळ खेळू शकतो,neutral
आपल्या इंजिनियर्सना अभिमान वाटावा यासाठी मी पूर्ण प्रयत्न करतो,neutral
नक्कीच . तुम्हाला एखादा गेम खेळायचा आहे का ?,neutral
कुडतरकर आणि गणेश अभ्यंकर हे मुंबईतल्या जे जे स्कूल ऑफ आर्टचे एका बाकावर बसणारे सहाध्यायी होते,neutral
आठला पंधरा कमी असताना गाडी स्थानकात शिरली आणि सगळे जागा अडवायला दरवाज्याच्या दिशेने धावले,neutral
"उल्यानोव्ह कुटुंब सुसंस्कृत , सुखी कुटुंब म्हणून परिचित होतं",happy
अनेक वेळा घाबरून रुग्णाचा मृत्यू होतो,neutral
अनिल कुंबळेच्या झंझावाती गोलंदाजीचा त्याने शक्य तितका प्रतिकार केला पण शेवटी झालाच तो बाद,neutral
किंमत वाढून एक हजार चारशे पन्नास डॉलरवर आली,neutral
आपण ऑनलाइन जाऊन कोणतीही गोष्ट जाणून घेऊ शकतो हे किती रोमहर्षक आहे !,neutral
एक बस पाच मिनिटांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त चाळीस मिनिटं आहेत,neutral
आदित्यने गेल्या महिन्यात हे शिखर सर केले आणि तो या शिखरावर आपले पाय रोवणारा विसावा गिर्यारोहक बनला,neutral
केतकी ह्या सुट्टीत क्योतोला जाऊन तिथे चांगली सहा दिवस राहून अख्खं शहर पालथं घालणार आहे,neutral
अभिजीतनं यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात पाचवा आला,neutral
आता देना बँकेची चौदावी शाखा तुळशीबाग मार्केटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
उत्तर प्रदेशातील डोंगराळ भागातील लोक दिवाळीच्या दिवशी गायींची पूजा करतात व रात्री गावाच्या सीमेवर जाऊन मशालींच्या प्रकाशात नाचतात,neutral
कांदिवली हे या मार्गावरील सहावे स्थानक असून येथे ट्रेन बराच वेळ थांबते,neutral
आज गुगल दोन दशांश तीन टक्क्यांनी वाढून सातशे पन्नास डाॅलरवर बंद झालं,neutral
आकृतीप्रधान प्रकारात रेषा वर्तुळ यांचा समावेश असतो तर वल्लरीप्रधान प्रकारामध्ये वेली पाने फुले यांचे आकार असतात,neutral
अंतिम सामना जिंकल्यावर भारतीय संघाला विश्वचषक मिळाला,neutral
ठीक आहे मी मदत करण्यासाठी इथे आहे तुम्हाला काय करायचं आहे ?,neutral
माझी रास कर्क . तुमची ?,neutral
"आता देना बँकेची पहिली शाखा फॅशन स्ट्रीटजवळ उघडते आहे , परवा तिचा उद्घाटन समारंभ आहे",neutral
खूप छान विचारल्याबद्दल धन्यवाद,neutral
किंमत दोन पूर्णांक तीन टक्क्यांनी वाढून डॉलर एक हजार चारशे पन्नास झाली आहे,neutral
"दिनक्रम ? मला सर्व काही भरभर करायला आवडतं , जेणेकरून सकाळभर सुस्ती येत नाही",neutral
मी तुमच्यासाठी शोध घेऊ शकतो . तुम्हाला काय जाणून घ्यायचं आहे ?,neutral
आता अ‍ॅक्सिस बँकेची अठरावी शाखा फॅशन स्ट्रीटजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
उमा थर्मन ही हा सन्मान प्राप्त झालेली पहिली महिला आहे आणि याचा तिला रास्त अभिमान आहे,neutral
कानात साखर पडल्यासारखं वाटतंय,neutral
आदिती परवा रियो दि जानेरोमधे गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला टॉम हँक्सचा पुतळा दिसला,neutral
कधीकधी मी गोंधळून जातो,neutral
तरीही मी तुमच्यासाठी काही माहिती गोळा करू शकते . तुम्हाला काय जाणून घ्यायला आवडेल ?,neutral
कॅलिफोर्नियामधे पाऊस पडतो आहे,neutral
जगात इतके प्रतिभावान अभिनेते आहेत . तुम्हाला कोण आवडतं ?,neutral
आफ्टर अवर्स ट्रेडिंगमध्ये गुगलचा शेअर दोन पूर्णांक तीन टक्क्यांनी वाढून सातशे पन्नास डॉलरचा झाला आहे,neutral
मला जे काही करता येईल ते मी करेन . काय काम आहे ?,neutral
असा आरोप त्यावेळी बीड जिल्ह्यात आलेल्या क्रांतीसिंह नाना पाटील यांच्याकडे भगवानबाबांच्या विरोधकांनी केला,neutral
कृपया आपली सीट सरळ करावी,neutral
एकदा असुरांच्या त्रासाला कंटाळून सर्व स्त्रिया महालक्ष्मी गौरीकडे गेल्या आणि त्यांनी आपले सौभाग्य अक्षय्य करण्याविषयी तिची प्रार्थना केली,fear
आपल्याला ताज्या बातम्या ऑनलाइन मिळू शकतात,neutral
अर्चनाचा जन्म दोन हजार अकरा सालातील एप्रिल ह्या महिन्यात उस्मानाबाद इथे झाला,neutral
एकोणतीस एवढं तापमान असून जोरदार पाऊस पडतो आहे,neutral
आता सिंडिकेट बँकेची नववी शाखा महात्मा फुले मंडईजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
आता अ‍ॅक्सिस बँकेची आठवी शाखा महात्मा फुले मंडईजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
केतकी परवा सॅन अँटोनियोमध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला एल्व्हिस प्रेस्लीचा पुतळा दिसला,neutral
आपल्या सुरक्षकवचातून बाहेर पडा,neutral
एकोणीसशे बेचाळीसमधे लता अवघ्या तेरा वर्षांची होती तेव्हा वडील हृदयविकाराने निवर्तले,neutral
एखाद्या व्यक्तीला ओवाळताना ती व्यक्ती बसलेल्या पाटाभोवती आणि पुढेही रांगोळी काढतात,neutral
केळ्यापासून बनवल्या जाणाऱ्या पाककृती शोधण्यात मी तुम्हाला मदत करू शकतो,neutral
अनुजाचा जन्म एकोणीसशे नव्व्याण्णव सालातील चैत्र ह्या महिन्यात कोरेगांव इथे झाला,neutral
न्याय मिळत नाही म्हणून मला खूप राग येतो!,angry
रस्त्यावर अचानक कुत्रा आडवा आला आणि मला खूप घाबरायला झालं.,fear
आज मला खूप आनंद झाला कारण मला परीक्षा मध्ये उत्तम गुण मिळाले!,happy
"आजचे वातावरण साधारण आहे, काही विशेष नाही.",neutral
माझा जुना मित्र परदेशी गेला आणि मला खूप वाईट वाटलं.,sad
माझ्या वाढदिवशी अचानक सगळ्यांनी सरप्राईज पार्टी दिली!,surprise
"अचानक मला ऑफिसमधून काढून टाकलं गेलं, हे ऐकून मला प्रचंड राग आला.",angry
रात्री जंगलात आवाज ऐकून मी खूप घाबरलो.,fear
माझ्या बहिणीचं लग्न ठरलं आणि संपूर्ण कुटुंब आनंदी आहे!,happy
"मी रोज ऑफिसला जातो आणि काम करतो, नेहमीसारखं.",neutral
माझ्या लहानपणीचा खेळण्याचा बाहुला हरवला आणि मला खूप वाईट वाटलं.,sad
मी लॉटरी जिंकली आणि मला विश्वासच बसत नव्हता!,surprise
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"लोक खोटं बोलतात आणि फसवतात, हे मला अजिबात सहन होत नाही!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
"रस्त्यावर कोणीही वाहतुकीचे नियम पाळत नाहीत, हे खूप चिडचिड करणारं आहे.",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
"माझ्या कामाची कुणीही किंमत करत नाही, यामुळे मला राग येतो!",angry
बिल न भरल्यामुळे मला वीज तोडण्याचा इशारा आला आणि मी संतापलो.,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
मी माझं काम व्यवस्थित केलं तरीही मला दोष दिला जातो!,angry
